ID,Annotator_ID,Funniness (1-5),Is a Joke?,Joke keywords,Natural language explanation,Offensive/Inappropriate?,Understand the text?,text
het_837,0,3,1,"['drinking', 'leave of absinthe']",absinthe sounds like absent ,0,1,Drinking too much of a certain potent potable may require a leave of absinthe .
het_837,1,4,1,"['Drinking too much', 'leave of absinthe']","This is a play on words. The word ""absinthe"" is a type of alcohol but sounds like ""leave of absense"" meaning not bbeing present after drinking too much.",0,1,Drinking too much of a certain potent potable may require a leave of absinthe .
het_837,2,2,1,"['drinking too much', 'potent potable', 'leave of absinthe']","It's a pun that replaces the word absence with absinthe, which is a notoriously strong alcohol. ",0,1,Drinking too much of a certain potent potable may require a leave of absinthe .
het_837,3,1,1,"['drinking', 'potent potable', 'absinthe']",Absinthe is supposed to sound like absence. The joke is referencing alcohol. Drinking too much alcohol may require you to be absent from work. Absinthe was used in place of absence because they sound similar. Absinthe is an alcoholic beverage though.,0,1,Drinking too much of a certain potent potable may require a leave of absinthe .
het_837,4,2,1,"['drinking', 'absinthe']","This is a play on words. Absinthe here represents the liquor by the same name, but is meant to replace the similar sounding ""absense."" Too much absinthe will make you ill",0,1,Drinking too much of a certain potent potable may require a leave of absinthe .
het_635,0,3,1,"['animals', 'soil', 'escape root']",root sounds like route ,0,1,Animals that tunnel in the soil have to have an escape root .
het_635,1,3,1,"['Animals', 'tunnel in the soil', 'escape root']","This is a play on words. The word ""root"" means part of a tree/plant that grows in the soil but ""root"" sounds like ""route"" which in the context of ""escape route"" means a path out of the soil.",0,1,Animals that tunnel in the soil have to have an escape root .
het_635,2,1,1,"['Animals that tunnel', 'escape root']","This pun is replacing the word route as in escape route with root, as in a plant root. ",0,1,Animals that tunnel in the soil have to have an escape root .
het_635,3,2,1,"['animals', 'soil', 'escape', 'root']","This is a play on the word route. A root refers to the part of a plant that is in the soil. A route is a course taken. The word root was used here to mean route, but root made sense because they're talking about animals in soil.",0,1,Animals that tunnel in the soil have to have an escape root .
het_635,4,2,1,"['animals', 'tunnel']","A pun on ""escape route/root,"" since these animals are digging tunnels (routes) in the ground (root)",0,1,Animals that tunnel in the soil have to have an escape root .
hom_1066,0,2,1,"['news', 'clay', 'breaking']",clay when it dries  out is easy to break and breaking news is a term used in the news ,0,1,Back when the news was written on clay tablets there was a lot of breaking news .
hom_1066,1,2,1,"['news', 'clay tablets', 'breaking news']","This is a play on words. The term ""breaking news"" refers to news that's hot off the press but here ""breaking news"" refers to news that is literally breaking apart because the clay tablets they're being written on are being chiseled apart.",0,1,Back when the news was written on clay tablets there was a lot of breaking news .
hom_1066,2,2,1,"['news', 'clay tablets', 'a lot of breaking news']","Breaking news is a sudden or urgent type of news, and clay tablets are fragile and may break easily.",0,1,Back when the news was written on clay tablets there was a lot of breaking news .
hom_1066,3,1,1,"['news', 'clay tablets', 'breaking news']","This is a play on the phrase ""breaking news"". Breaking news is news that is recent and important, something that is worth interrupting whatever it is people are doing.  ",0,1,Back when the news was written on clay tablets there was a lot of breaking news .
hom_1066,4,2,1,['news'],"""Breaking news"" usually means that it is new, but here it also means to literally break since clay is fragile",0,1,Back when the news was written on clay tablets there was a lot of breaking news .
hom_958,0,4,1,"['bakery', 'burned', 'toast']",bakery make bread and when you heat up a slice of bread it turns into toast ,0,1,My friend's bakery burned down last night . Now his business is toast .
hom_958,1,3,1,"['bakery burned down', 'business is toast']","This is a play on words. Bread browned on both sides becomes toast but a business becoming toast means the business is ruined. When the bakery burns down, the bakery is ruined and ""becomes toast"" but the bread inside the building also ""becomes toast"" due to being exposed to heat from the flames.",0,1,My friend's bakery burned down last night . Now his business is toast .
hom_958,2,2,1,"['bakery', 'burned down', 'toast']","Something that is toast means it is done or over with, and a bakery that burned down is considered beyond repair or reclaim. ",0,1,My friend's bakery burned down last night . Now his business is toast .
hom_958,3,1,1,"['bakery', 'business', 'burned down', 'toast']","When something is toast, it means that something is over, or hopeless. A bakery produces bread. Bread when heated becomes toasted, or toast.",0,1,My friend's bakery burned down last night . Now his business is toast .
hom_958,4,2,1,"['toast', 'bakery']","To say something is ""toast"" is to mean it is over; however, here it also makes a play on the food with the same name",0,1,My friend's bakery burned down last night . Now his business is toast .
hom_2014,0,3,1,"['sponge', 'soaked it in']",sponge normally soaks in water in this case its used to mean obsorbing the experience ,0,1,"It was the first time she'd seen a live sponge on display , and she really soaked it in ."
hom_2014,1,1,1,"['live sponge on display', 'soaked it in']","This is a play on words. The phrase ""soak it in"" means to observe your surroundings but ""soak"" also means to absorb water like a sponge does.",0,1,"It was the first time she'd seen a live sponge on display , and she really soaked it in ."
hom_2014,2,2,1,"['first time', 'live sponge on display', 'soaked it in']",A sponge is an object that absorbs or soaks in liquid. ,0,1,"It was the first time she'd seen a live sponge on display , and she really soaked it in ."
hom_2014,3,1,1,"['sponge', 'soaked it in']","A sponge soaks up liquid. The person is metaphorically doing what the sponge would do, soak stuff up.",0,1,"It was the first time she'd seen a live sponge on display , and she really soaked it in ."
hom_2014,4,2,1,"['sponge', 'soak']","Sponges absorbs (soak) liquid, but soaking something in means to take something in",0,1,"It was the first time she'd seen a live sponge on display , and she really soaked it in ."
het_987,0,1,1,"['salad dressing', 'cloves']",cloves are ususally found in salad dressing but you need to know that to find it funny ,0,1,"Even covered in salad dressing my lettuce looked bare , so I put some cloves on it ."
het_987,1,4,1,"['lettuce', 'bare', 'put some cloves on it']","This is a play on words. The word ""cloves"" is a type of food but sounds like ""clothes"" being added to a bare salad so the salad is dressed up.",0,1,"Even covered in salad dressing my lettuce looked bare , so I put some cloves on it ."
het_987,2,1,1,"['lettuce looked bare', 'put some cloves on it']","Cloves is trying to replace the word clothes, because the salad is bare.",0,1,"Even covered in salad dressing my lettuce looked bare , so I put some cloves on it ."
het_987,3,1,1,"['salad dressing', 'lettuce', 'cloves']",The person put salad dressing (dressing here is to be interpreted as clothes) on the lettuce. But it needed more clothes. Cloves sounds close to the word clothes. ,0,1,"Even covered in salad dressing my lettuce looked bare , so I put some cloves on it ."
het_987,4,2,1,['salad'],"Here, ""bare"" and ""cloves"" is supposed to sound like ""bare clothes,"" joking that the salad looks naked",0,1,"Even covered in salad dressing my lettuce looked bare , so I put some cloves on it ."
het_1066,0,4,1,"['saxophone', 'tenor', 'love and care']",tenor is a type of saxophone and it sounds like tender ,0,1,"One day my friend asked me , how do you take such good care of your saxophone . I responded with tenor , love and care ."
het_1066,1,2,1,"['such good care', 'saxophone', 'with tenor, love and care']","This is a play on words. The word ""tenor"" means a type of singing voice but sounds like ""tender"" which means showing gentleness or concern.",0,1,"One day my friend asked me , how do you take such good care of your saxophone . I responded with tenor , love and care ."
het_1066,2,2,1,"['take such good care', 'saxaphone', 'tenor, love, and care.']","A tenor saxaphone is a type of saxapone, tenor being the voice/range type. Tender love and care is a common expression.",0,1,"One day my friend asked me , how do you take such good care of your saxophone . I responded with tenor , love and care ."
het_1066,3,1,1,"['saxophone', 'tenor', 'love and care']","""Tendor love and care"" is a common phrase used to describe what one needs emotionally. The joke here replaced tendor with tenor because it sounded close, and we're talking about a saxophone. A saxophine is a musical instrument. A tenor saxophone is a saxophone type.",0,1,"One day my friend asked me , how do you take such good care of your saxophone . I responded with tenor , love and care ."
het_1066,4,2,1,['saxophone'],"A play on the phrase ""tender, love, and care,"" where tenor (a music term) replaces the word tender",0,1,"One day my friend asked me , how do you take such good care of your saxophone . I responded with tenor , love and care ."
hom_614,0,3,1,"['hill', 'steep']",steep means the angle and hills usually have an angle going up or down in this case ,0,1,"I went to buy some property with a hill on it , but it was a little steep ."
hom_614,1,3,1,"['property with a hill', 'a little steep']","This is a play on words. The word ""steep"" means high in price but ""steep"" also having a sharp slope, as a hill would.",0,1,"I went to buy some property with a hill on it , but it was a little steep ."
hom_614,2,1,1,"['buy some property', 'hill on it', 'little steep']","A hill is considered steep in angle, and steep can also refer to something that might be too expensive.",0,1,"I went to buy some property with a hill on it , but it was a little steep ."
hom_614,3,1,1,"['property', 'hill', 'steep']","Steep can be used to refer to a slope rising or falling sharply, but it can also be used to refer to how much something can cost. The text is combining the meaning.",0,1,"I went to buy some property with a hill on it , but it was a little steep ."
hom_614,4,2,1,"['hill', 'steep']","Hills have steep slopes, but houses are also costly (steep prices)",0,1,"I went to buy some property with a hill on it , but it was a little steep ."
hom_1391,0,2,1,"['yogurt', 'cultured']",Yogurt is a cultured  milk product that is soured and thickened by adding specific cultures to milk,0,1,People who like yogurt are well cultured .
hom_1391,1,3,1,"['yogurt', 'well cultured']","This is a play on words. The word ""cultured"" means having refined tastes but ""culture"" also refers to bacteria used to make yogurt.",0,1,People who like yogurt are well cultured .
hom_1391,2,2,1,"['people', 'like yogurt', 'well cultured']",Yogurt is milk that has been introduced to bacterial culture.,0,1,People who like yogurt are well cultured .
hom_1391,3,1,1,"['yogurt', 'cultured']","To be well cultured is to be knowledgeable about the society you're in. When yogurt is cultured, it means there's beneficial bacteria in it.",0,1,People who like yogurt are well cultured .
hom_1391,4,2,1,['yogurt'],"Yogurt is made by milk being cultured, while cultured also means to have taste",0,1,People who like yogurt are well cultured .
hom_765,0,2,1,"['farmer', 'rip', 'clothes', 'overall']",farmers are known to wear overalls ,0,1,A farmer with a rip in his clothes has an overall problem .
hom_765,1,1,1,[''],"This is a play on words. The word ""overall"" means taking everything into account but ""overalls"" are a type of clothing.",0,1,A farmer with a rip in his clothes has an overall problem .
hom_765,2,1,1,"['farmer', 'rip in his clothes', 'overall problem']",A common past example of farmers clothing are overalls.,0,1,A farmer with a rip in his clothes has an overall problem .
hom_765,3,1,1,"['farmer', 'rip', 'clothes', 'overall']","Overall problem means the farmer has a general problem, but overall(s) are also a type of clothing. The farmer has a problem with his clothing.",0,1,A farmer with a rip in his clothes has an overall problem .
hom_765,4,2,1,"['farmer', 'overall']","Farmers wear overalls, and this joke is saying a rip in clothes is an over all problem",0,1,A farmer with a rip in his clothes has an overall problem .
hom_76,0,1,1,"['mathematician', 'count on']",counting happens in math ,0,1,The inept mathematician couldn't count on his friends .
hom_76,1,1,1,"['mathematician', ""couldn' t count on"", 'his friends']","This is a play on words. The word ""count"" means to determine the total number of something but ""count on"" means to depend on another person.",0,1,The inept mathematician couldn't count on his friends .
hom_76,2,1,1,"['inept mathematician', ""couldn't count"", 'friends']","Inept means incapable or lacking in something, and in this case, the mathematician is inept and can't count on his friends.",0,1,The inept mathematician couldn't count on his friends .
hom_76,3,2,1,"['inept', 'mathematician', 'count', 'friends']","To count on someone means you can rely on them. To count also means to determine the total number of something. The mathematician is inept, so unable to determine the number of his friends, or to rely on them. ",0,1,The inept mathematician couldn't count on his friends .
hom_76,4,2,1,"['mathematician', 'count']","This is a pun on the phrase to ""count on"" someone (to rely on them), while mathemeticians often count",0,1,The inept mathematician couldn't count on his friends .
hom_181,5,1,1,"['trapeze', 'own safety equipment', 'net wages']","This is a pun on net wages, which are the amount the employee receives once gross wages have been reduced by deductions and taxes. Every Friday he had to figure these wages out as he had to buy his own nets",0,1,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .
hom_181,6,2,1,"['trapeze artist', 'net wages.']",This joke is a pun on the word net.  Trapeze artists are usually kept safe from falling by a net to catch them.  Net wages is a term that means total money paid to an employee.,0,1,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .
hom_181,7,2,1,"['trapeze artist', 'safety equipment', 'net wages']",net wages are wages after taxes and a net is saftey equipment ,0,1,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .
hom_181,8,3,1,"['trapeze artist', 'net', 'wages']",Net wages is the amount of money left over from someone's salary once taxes and benefits are taken out. It's also a play on the nets that trapeze artists use in their work.,0,1,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .
hom_181,9,3,1,"['trapeze artist', 'net wages']","This is a play on words using the word ""net"". A net is used to cushion a trapeze artist's fall. ""Net wages"", which refers to the income the trapeze artist (or any other professional) gets after deducting income tax, has the word ""net"" in it. ",0,1,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .
hom_52,5,1,1,"[""Sir Lancelot's moonshine"", 'still of the knight']","This is a pun on 'still of the knight'. The common saying 'still of the knight', means ""anytime late at night"", however 'still of the knight' is used here since whisky is made in stills and Sir Lancelot was a knight",0,1,One evening King Arthur's men discovered Sir Lancelot's moonshine whiskey operation and shattered the still of the knight .
hom_52,6,4,1,"[""men discovered Sir Lancelot' s moonshine"", 'operation', 'shattered the still of the knight']",The joke is a pun on the words still and knight and the phrase 'the still of the night'.  To make moonshine a device called a still is used.  Sir Lancelot was a knight. The phrase ' the still of the night' means the peace or calmness of the night time.  They shattered the still Lancelot was using to make the moonshine but also they shattered the still of the night.,0,1,One evening King Arthur's men discovered Sir Lancelot's moonshine whiskey operation and shattered the still of the knight .
hom_52,7,2,1,"[""Sir Lancelot' s moonshine whiskey"", 'shattered the still of the knight']",still of the night means the quiet of night and knight sounds like night ,0,1,One evening King Arthur's men discovered Sir Lancelot's moonshine whiskey operation and shattered the still of the knight .
hom_52,8,3,1,"['Lancelot', 'whiskey', 'still', 'night']","A still is a device used to make whiskey, so they shattered the knight's still and did it at night, disturbing the silence.",0,1,One evening King Arthur's men discovered Sir Lancelot's moonshine whiskey operation and shattered the still of the knight .
hom_52,9,2,1,"['evening', ""Sir Lancelot's moonshine whiskey operation"", 'still of the knight']","This is a pun using the phrase ""still of the knight"". The men found the moonshine whiskey operation in the evening, which suggests that ""still of the knight"" refers to ""still of the night"".  ""Still of the night"" means late at night when it is quiet and dark. ""Night"" sounds like ""knight"". Sir Lancelot is a knight. A ""still"" is a device used to distill alcohol, which moonshine whiskey is an example of. So when they say the men ""shattered the still of the knight"" they mean that not only did their activities disturb the quietness of the night, but they also destroyed the distillation device the knight Sir Lancelot uses to make moonshine whiskey.",0,1,One evening King Arthur's men discovered Sir Lancelot's moonshine whiskey operation and shattered the still of the knight .
het_1142,5,3,1,"['played the organ', 'garden', 'organically grown food']",This is a joke based simply on the idea that the musical instrument organs are linked to organically grown food ,0,1,There was a guy who played the organ in his garden to get organically grown food .
het_1142,6,2,1,"['guy', 'played the organ', 'in his garden', 'organically grown food.']",The joke is a pun on the words organ and organically.  Organically grown food is food that was grown naturally without any artificial growth chemicals.  An organ is keyed instrument similar to a piano.,0,1,There was a guy who played the organ in his garden to get organically grown food .
het_1142,7,2,1,"['played the organ', 'organically grown food']",organ sounds like organic ,0,1,There was a guy who played the organ in his garden to get organically grown food .
het_1142,8,2,1,"['organ', 'garden', 'organically grown']","The organ is an instrument and an obvious play on 'organically', which refers to plants grown without hormones or pesticides.",0,1,There was a guy who played the organ in his garden to get organically grown food .
het_1142,9,3,1,"['organ', 'organically grown food']","This is a pun using the word ""organically"". The guy wants to grow his food organically, which means naturally without using chemicals. ""Organically"" has the word ""organ"" in it. The guy is playing an organ, which is an instrument similar to a piano, in his garden. ",0,1,There was a guy who played the organ in his garden to get organically grown food .
hom_836,5,1,1,"['news', 'flood', 'leaked']","This is a pun on 'leaked', which is referring to a news story about a flood reaching the public before it was intended, but having something 'leak' is also associated with water",0,1,News of a coming flood was leaked .
hom_836,6,2,1,"['News of', 'flood was leaked.']","The joke is a pun on the word 'leaked'.  'Leaked' can refer to actual water leaking, or in the case of news, information that slipped out even though it was meant to be kept secret.",0,1,News of a coming flood was leaked .
hom_836,7,1,1,"['News', 'flood', 'leaked']",leaked can refer to information getting out or water getting out ,0,1,News of a coming flood was leaked .
hom_836,8,3,1,"['News', 'flood', 'leaked']","News can be leaked, meaning it comes out before it was meant to be reported, or the leak can refer to flooding water.",0,1,News of a coming flood was leaked .
